0,1,2
1.0,0.0,1.0
0.996917,0.078459,1.0
0.987688,0.156434,1.0
0.97237,0.233445,1.0
0.951057,0.309017,1.0
0.92388,0.382683,1.0
0.891007,0.453991,1.0
0.85264,0.522499,1.0
0.809017,0.587785,1.0
0.760406,0.649448,1.0
0.707107,0.707107,1.0
0.649448,0.760406,1.0
0.587785,0.809017,1.0
0.522499,0.85264,1.0
0.453991,0.891006,1.0
0.382684,0.92388,1.0
0.309017,0.951056,1.0
0.233445,0.97237,1.0
0.156434,0.987688,1.0
0.078459,0.996917,1.0
1e-06,-1.0,1.0
0.07846,-0.996917,1.0
0.156435,-0.987688,1.0
0.233446,-0.97237,1.0
0.309018,-0.951056,1.0
0.382684,-0.923879,1.0
0.453992,-0.891006,1.0
0.5225,-0.85264,1.0
0.587786,-0.809016,1.0
0.649449,-0.760405,1.0
0.707108,-0.707106,1.0
0.760407,-0.649447,1.0
0.809018,-0.587784,1.0
0.852641,-0.522497,1.0
0.891007,-0.453989,1.0
0.92388,-0.382682,1.0
0.951057,-0.309016,1.0
0.97237,-0.233444,1.0
0.987689,-0.156433,1.0
0.996917,-0.078458,1.0
0.2,1.8,2.0
0.198458,1.87852,2.0
0.193835,1.956918,2.0
0.186137,2.035075,2.0
0.175377,2.112869,2.0
0.161571,2.190181,2.0
0.14474,2.266891,2.0
0.12491,2.342881,2.0
0.102113,2.418034,2.0
0.076383,2.492234,2.0
0.047759,2.565367,2.0
0.016286,2.637319,2.0
-0.017987,2.707981,2.0
-0.055008,2.777242,2.0
-0.09472,2.844997,2.0
-0.137061,2.91114,2.0
-0.181966,2.97557,2.0
-0.229366,3.038188,2.0
-0.279188,3.098896,2.0
-0.331355,3.157602,2.0
-0.385786,3.214214,2.0
-0.442399,3.268645,2.0
-0.501104,3.320812,2.0
-0.561812,3.370634,2.0
-0.62443,3.418034,2.0
-0.68886,3.462939,2.0
-0.755003,3.50528,2.0
-0.822758,3.544992,2.0
-0.892019,3.582013,2.0
-0.962681,3.616287,2.0
-1.034633,3.647759,2.0
-1.107766,3.676383,2.0
-1.181966,3.702113,2.0
-1.257119,3.72491,2.0
-1.33311,3.74474,2.0
-1.40982,3.761571,2.0
-1.487131,3.775377,2.0
-1.564926,3.786137,2.0
-1.643082,3.793835,2.0
-1.721481,3.798458,2.0
-1.800001,3.8,2.0
-1.87852,3.798458,2.0
-1.956919,3.793835,2.0
-2.035075,3.786137,2.0
-2.11287,3.775377,2.0
-2.190181,3.76157,2.0
-2.266891,3.74474,2.0
-2.342882,3.72491,2.0
-2.418035,3.702113,2.0
-2.492235,3.676382,2.0
-2.565368,3.647759,2.0
-2.63732,3.616286,2.0
-2.707982,3.582013,2.0
-2.777243,3.544992,2.0
-2.844998,3.50528,2.0
-2.911141,3.462939,2.0
-2.975571,3.418034,2.0
-3.038189,3.370633,2.0
-3.098897,3.320811,2.0
-3.157602,3.268644,2.0
-3.214214,3.214213,2.0
-3.268646,3.157601,2.0
-3.320813,3.098895,2.0
-3.370635,3.038187,2.0
-3.418035,2.97557,2.0
-3.46294,2.911139,2.0
-3.505281,2.844996,2.0
-3.544993,2.777241,2.0
-3.582014,2.70798,2.0
-3.616287,2.637318,2.0
-3.64776,2.565366,2.0
-3.676383,2.492233,2.0
-3.702113,2.418033,2.0
-3.724911,2.34288,2.0
-3.74474,2.266889,2.0
-3.761571,2.190179,2.0
-3.775377,2.112867,2.0
-3.786137,2.035073,2.0
-3.793835,1.956917,2.0
-3.798458,1.878518,2.0
